rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,50,0.1,,FunctionTransformer,,,85.13279056549072,success,0.09221796989440918,0.86_1.0_0.99_1.0_1.0,0.54_0.5_0.5_0.5_0.5,16.80041913986206,0.9699137931034482,0.97,1.0,1.0,0.99,0.5076190476190476,1746732891.4622076,distance,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,FunctionTransformer,,,1.1664752960205078,success,0.010071134567260743,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.18095574378967286,1.0,1.0,1.0,1.0,1.0,0.5,1746732804.869506,,RandomForestClassifier,,,,,75,3,,3,1,5,,gini,True,,
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.2385320663452148,success,0.0047858238220214845,0.0_0.5_0.42_0.38_0.0,0.7_0.68_0.65_0.63_0.51,0.2088019847869873,0.25919540229885063,0.47,0.84,0.29,0.66,0.6357142857142857,1746732803.5616472,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,1,,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.3488516807556152,success,0.07704410552978516,0.27_0.4_0.5_0.37_0.48,0.63_0.66_0.61_0.62_0.6,0.08262248039245605,0.4036363636363637,0.53,0.47,0.64,0.6,0.6269047619047619,1746732802.2451835,uniform,KNeighborsClassifier,,,8,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,PCA,6,,0.7091598510742188,success,0.003568077087402344,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.10821390151977539,1.0,1.0,1.0,1.0,1.0,0.5,1746732800.8144193,,MLPClassifier,sgd,5,,10,,,,,,,invscaling,,,0.01,logistic
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.5,,FunctionTransformer,,,50.1045663356781,success,0.0075629234313964845,0.4_0.4_0.76_0.42_0.69,0.62_0.55_0.53_0.5_0.52,9.975744104385376,0.5350592128178335,0.63,0.85,0.69,0.73,0.5452380952380953,1746732800.0172613,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,50,0.1,,FunctionTransformer,,,58.082322120666504,success,0.007379865646362305,0.79_0.75_1.0_0.83_0.83,0.54_0.53_0.5_0.51_0.53,11.578928136825562,0.8393267651888342,0.91,0.97,0.84,0.94,0.5240476190476191,1746732749.8443334,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.0034689903259277,success,0.07452602386474609,0.66_0.67_0.64_0.62_0.68,0.56_0.56_0.55_0.58_0.51,0.009702730178833007,0.6521421107628004,0.7,0.94,0.84,0.66,0.554047619047619,1746732691.6813207,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,PCA,8,,0.3411245346069336,success,0.008348989486694335,0.53_0.63_0.85_0.67_0.5,0.64_0.64_0.55_0.57_0.58,0.023094320297241212,0.6377158343012,0.79,0.76,0.85,0.74,0.5964285714285713,1746732690.6111834,distance,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,
NearMiss,2,,features_mitigation_normalization_rebalancing_classification,,False,,False,RobustScaler,LFR_wrapper,0.1,10,0.5,,FunctionTransformer,,,55.97589659690857,success,0.008570575714111328,0.4_0.5_0.62_0.59_0.83,0.61_0.58_0.54_0.55_0.53,11.14869179725647,0.5874521072796934,0.7,0.9,0.64,0.78,0.5621428571428572,1746732689.0364368,,RandomForestClassifier,,,,,25,4,,3,3,1,,entropy,True,,
