rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,normalization_mitigation_features_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,7,,0.9916534423828125,success,0.0051592826843261715,0.0_0.42_0.45_0.21_0.0,0.67_0.65_0.67_0.6_0.65,0.16264758110046387,0.21666666666666665,0.7,0.96,0.28,0.47,0.6461904761904762,1746721191.5323832,,MLPClassifier,adam,5,,1,,,,,,,constant,,,1e-05,logistic
NearMiss,3,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.493215322494507,success,0.005232715606689453,0.0_0.53_0.68_0.21_0.0,0.64_0.65_0.62_0.61_0.55,0.6593428611755371,0.2837878787878788,0.63,0.82,0.31,0.74,0.6128571428571428,1746721182.8984928,,MLPClassifier,sgd,50,,5,,,,,,,constant,,,1e-05,logistic
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.49050140380859375,success,0.034604454040527345,0.61_0.89_0.82_0.76_0.66,0.56_0.58_0.52_0.54_0.52,0.004102849960327148,0.7473605015673982,0.86,0.86,0.84,0.83,0.5442857142857143,1746721178.8493605,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,SelectKBest,,6,0.1767566204071045,success,0.0024408817291259764,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.005774450302124023,1.0,1.0,1.0,1.0,1.0,0.5,1746721177.9012804,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,5,normalization_rebalancing_mitigation_features_classification,,False,,True,RobustScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.8609452247619629,success,0.004411077499389649,0.0_0.4_0.11_0.39_0.45,0.62_0.7_0.62_0.49_0.62,0.13543291091918946,0.2714502164502165,0.67,0.69,0.49,0.46,0.6083333333333333,1746721177.2843845,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,1e-05,logistic
SMOTE,,8,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,SelectKBest,,1,1.5336394309997559,success,0.003172445297241211,0.0_0.0_0.0_0.0_0.0,0.62_0.67_0.68_0.65_0.7,0.2688614368438721,0.0,0.94,0.12,0.23,0.38,0.6626190476190474,1746721175.9697146,,MLPClassifier,lbfgs,10,,5,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_features_mitigation_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,10,0.5,,PCA,2,,0.0006427764892578125,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746721174.0080254,,MLPClassifier,lbfgs,25,,5,,,,,,,constant,,,0.01,logistic
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,SelectKBest,,6,1.5119740962982178,success,0.0027441978454589844,1.0_1.0_0.75_1.0_1.0,0.5_0.5_0.54_0.5_0.5,0.2727473735809326,0.95,0.98,0.98,0.95,0.95,0.5071428571428571,1746721173.5555701,,MLPClassifier,adam,5,,20,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,200,2.0,,SelectKBest,,9,7.683644771575928,success,0.0057585716247558595,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,1.0082381248474122,1.0,1.0,1.0,1.0,1.0,0.5,1746721171.6129985,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,3,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,10,0.1,,PCA,2,,4.343913316726685,fail,0.007681846618652344,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.8302669048309326,-inf,-inf,-inf,-inf,-inf,0.5,1746721156.798943,distance,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
