rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,PCA,4,,4.291534423828125e-06,already_evaluated,0.03962898254394531,0.42_0.34_0.35_0.38_0.18,0.65_0.63_0.64_0.64_0.64,0.016607093811035156,0.3333385972659811,0.56,0.59,0.69,1.0,0.33,0.5,0.49,0.6392002046650417,1746696864.0895395,distance,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,7,rebalancing_normalization_mitigation_features_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.052779006958007815,0.28_0.5_0.46_0.43_0.45,0.66_0.66_0.65_0.67_0.67,0.06699762344360352,0.42340486392629345,0.59,0.53,0.65,1.0,0.42,0.63,0.77,0.6615138366839911,1746696864.1311176,distance,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,
SMOTE,,6,normalization_features_mitigation_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,6,6.198883056640625e-06,already_evaluated,0.007836198806762696,0.49_0.33_0.44_0.45_0.39,0.69_0.68_0.67_0.69_0.68,1.5174206733703612,0.4210087175995237,0.62,0.66,0.67,1.0,0.42,0.61,0.7,0.680862937453333,1746696864.1765776,,MLPClassifier,lbfgs,25,,1,,,,,,,constant,,,1e-05,logistic
FunctionTransformer,,,normalization_rebalancing_mitigation_features_classification,,True,,False,RobustScaler,FunctionTransformer,,,,,SelectKBest,,10,6.67572021484375e-06,already_evaluated,0.00961756706237793,0.36_0.46_0.44_0.39_0.21,0.68_0.69_0.68_0.69_0.67,0.07240772247314453,0.3710064161251391,0.56,0.62,0.7,1.0,0.37,0.66,0.74,0.6837491037044113,1746696864.2243385,,RandomForestClassifier,,,,,25,5,,5,4,1,,entropy,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,100,0.1,,FunctionTransformer,,,6.67572021484375e-06,already_evaluated,0.02206583023071289,0.07_0.63_0.6_0.42_0.22,0.6_0.57_0.59_0.58_0.62,9.423743772506715,0.38528455832125574,0.47,0.63,0.72,1.0,0.54,0.86,0.88,0.5939433553285489,1746696864.2768126,,MLPClassifier,adam,10,,10,,,,,,,adaptive,,,0.001,logistic
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,2.0,,PCA,5,,5.4836273193359375e-06,already_evaluated,0.29073429107666016,0.51_0.32_0.38_0.0_0.41,0.53_0.53_0.51_0.5_0.51,9.921694660186768,0.32233829494589017,0.54,0.62,0.7,0.79,0.58,0.67,0.73,0.5139669923302306,1746696864.3274033,uniform,KNeighborsClassifier,,,11,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,4,,5.4836273193359375e-06,already_evaluated,0.02613673210144043,0.44_0.54_0.23_0.28_0.44,0.65_0.63_0.64_0.68_0.64,0.05979766845703125,0.3847201642826105,0.45,0.64,0.69,1.0,0.47,0.63,0.78,0.6487638524237165,1746696864.378106,distance,KNeighborsClassifier,,,8,,,,minkowski,,,,,,,,
SMOTE,,6,rebalancing_normalization_features_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.12964801788330077,0.52_0.45_0.59_0.45_0.47,0.64_0.63_0.64_0.64_0.64,0.09888525009155273,0.49611757096175807,0.66,0.74,0.73,1.0,0.5,0.68,0.73,0.6407064286322635,1746696864.430836,uniform,KNeighborsClassifier,,,5,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,200,0.1,,SelectKBest,,3,6.4373016357421875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746696864.4899526,,MLPClassifier,adam,25,,10,,,,,,,constant,,,0.01,logistic
SMOTE,,5,features_rebalancing_normalization_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,5.245208740234375e-06,already_evaluated,0.017984485626220702,,,7.286355590820312,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746696864.5438037,,RandomForestClassifier,,,,,100,6,,4,2,4,,gini,False,,
NearMiss,4,,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.5,,PCA,5,,5.0067901611328125e-06,already_evaluated,0.021259212493896486,0.52_0.4_0.81_0.76_0.32,0.62_0.62_0.62_0.62_0.64,6.6520411491394045,0.5603696045490141,0.77,0.76,0.85,1.0,0.57,0.87,0.78,0.6237724053957521,1746696864.598967,,RandomForestClassifier,,,,,75,3,,3,1,5,,entropy,True,,
FunctionTransformer,,,features_rebalancing_normalization_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.019008970260620116,0.29_0.36_0.37_0.26_0.21,0.68_0.68_0.69_0.69_0.68,0.38774261474609373,0.2957074974589209,0.5,0.6,0.64,1.0,0.3,0.58,0.74,0.6837418801460735,1746696864.6546478,,RandomForestClassifier,,,,,100,4,,6,4,3,,gini,True,,
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,8,,4.0531158447265625e-06,already_evaluated,0.025104761123657227,0.42_0.46_0.49_0.7_0.46,0.65_0.65_0.61_0.64_0.62,4.088117265701294,0.5053109730147015,0.61,0.69,0.75,1.0,0.53,0.85,0.89,0.6342660096792345,1746696864.7113144,,RandomForestClassifier,,,,,100,5,,5,3,3,,entropy,True,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.0060196399688720705,0.4_0.25_0.35_0.22_0.17,0.68_0.68_0.68_0.7_0.66,1.2158191204071045,0.2750616622911266,0.57,0.61,0.63,1.0,0.28,0.59,0.65,0.6808319586393818,1746696864.7687,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,4,,4.76837158203125e-06,already_evaluated,0.005842876434326172,0.5_0.18_0.42_0.38_0.21,0.67_0.66_0.66_0.67_0.66,0.5334911823272706,0.33854949226678327,0.57,0.64,0.69,1.0,0.34,0.62,0.73,0.6649673884095593,1746696864.8269722,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,7,,4.5299530029296875e-06,already_evaluated,0.055263948440551755,0.32_0.28_0.37_0.32_0.32,0.7_0.7_0.69_0.71_0.68,11.063403749465943,0.3222865885790103,0.55,0.58,0.65,1.0,0.32,0.6,0.71,0.6952667879299819,1746696864.886402,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.01744561195373535,0.52_1.0_0.78_0.55_0.35,0.65_0.5_0.63_0.61_0.64,8.804235076904297,0.6410505451738229,0.76,0.78,0.86,1.0,0.7,0.89,0.81,0.6055604924541044,1746696864.9528108,,RandomForestClassifier,,,,,50,6,,5,4,5,,entropy,True,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,7,4.291534423828125e-06,already_evaluated,0.007775735855102539,0.35_0.45_0.42_0.45_0.34,0.68_0.69_0.68_0.68_0.67,0.06496162414550781,0.4024952050048771,0.62,0.64,0.71,1.0,0.4,0.71,0.73,0.6825437957935546,1746696865.0206487,,RandomForestClassifier,,,,,10,4,,5,3,3,,gini,False,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.1,,PCA,4,,4.0531158447265625e-06,already_evaluated,0.2302116870880127,0.69_0.0_0.26_0.0_0.54,0.52_0.49_0.51_0.5_0.5,12.334025430679322,0.29692712497357576,0.63,0.59,0.69,0.73,0.48,0.7,0.78,0.505668038734011,1746696865.0913417,uniform,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
NearMiss,4,,features_normalization_rebalancing_mitigation_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,PCA,4,,4.5299530029296875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746696865.1625597,,MLPClassifier,sgd,25,,10,,,,,,,constant,,,0.0001,logistic
