rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,6,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,0.5,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.02883625030517578,0.42_0.59_0.73_0.64_0.34,0.64_0.63_0.63_0.63_0.63,9.788036251068116,0.5449806884399074,0.73,0.74,0.83,1.0,0.56,0.81,0.72,0.6325422714775426,1746710913.7599509,,MLPClassifier,lbfgs,50,,1,,,,,,,constant,,,0.0001,relu
SMOTE,,8,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.11797351837158203,0.42_0.33_0.4_0.3_0.37,0.65_0.64_0.64_0.65_0.64,0.15604820251464843,0.36280288137906214,0.66,0.6,0.64,1.0,0.36,0.55,0.51,0.6412990468751524,1746710913.8259432,distance,KNeighborsClassifier,,,5,,,,manhattan,,,,,,,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,50,0.5,,PCA,3,,3.814697265625e-06,already_evaluated,0.019350481033325196,0.45_0.56_0.74_0.63_0.36,0.63_0.64_0.63_0.62_0.62,8.913403415679932,0.5479980306728519,0.73,0.72,0.82,1.0,0.59,0.82,0.72,0.6288448300544301,1746710913.8921342,,RandomForestClassifier,,,,,75,6,,3,4,2,,gini,False,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,50,0.1,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.019756841659545898,0.48_0.4_0.73_0.53_0.34,0.62_0.62_0.64_0.61_0.63,9.038226127624512,0.49720260541624733,0.72,0.73,0.82,1.0,0.54,0.82,0.72,0.6253933330962065,1746710913.9579399,,RandomForestClassifier,,,,,75,2,,5,4,5,,entropy,False,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,100,1.0,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.019518661499023437,0.42_0.43_0.74_0.65_0.32,0.64_0.62_0.64_0.63_0.64,8.194623804092407,0.5094592985457238,0.75,0.74,0.84,1.0,0.55,0.84,0.76,0.6329371001970825,1746710914.0248203,,RandomForestClassifier,,,,,75,2,,5,4,5,,entropy,False,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,100,2.0,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.020595359802246093,0.4_0.65_0.7_0.75_0.32,0.65_0.62_0.62_0.62_0.64,10.120225954055787,0.5627733247075086,0.77,0.74,0.82,0.98,0.61,0.87,0.75,0.6285074372330998,1746710914.0943122,,RandomForestClassifier,,,,,75,4,,5,4,5,,entropy,False,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.019108295440673828,0.99_0.66_0.77_0.54_0.32,0.51_0.63_0.63_0.61_0.64,9.590263319015502,0.6551683338998382,0.83,0.8,0.88,0.99,0.7,0.9,0.82,0.6030266173138215,1746710914.1634924,,RandomForestClassifier,,,,,75,3,,5,4,5,,entropy,False,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,50,1.0,,FunctionTransformer,,,5.4836273193359375e-06,already_evaluated,0.01925482749938965,0.43_0.57_0.79_0.63_0.54,0.64_0.63_0.61_0.63_0.63,10.922473526000976,0.5941694268530381,0.76,0.76,0.85,1.0,0.62,0.88,0.79,0.6281124288343604,1746710914.2346222,,RandomForestClassifier,,,,,75,5,,5,4,5,,entropy,False,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,2.0,,SelectKBest,,10,1.1205673217773438e-05,already_evaluated,0.014861154556274413,0.68_0.88_0.73_0.84_0.74,0.63_0.57_0.61_0.56_0.61,11.694950914382934,0.7753913922121487,0.86,0.85,0.9,0.99,0.79,0.91,0.87,0.5941665947591852,1746710914.3145497,,MLPClassifier,sgd,5,,10,,,,,,,invscaling,,,1e-05,relu
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,10,2.0,,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.019764041900634764,0.56_0.43_0.8_0.78_0.79,0.65_0.62_0.6_0.62_0.61,11.256855297088624,0.6709282546891003,0.83,0.79,0.88,0.99,0.68,0.88,0.83,0.6188818017568213,1746710914.3910637,,RandomForestClassifier,,,,,75,4,,6,4,4,,entropy,False,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,50,2.0,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.019446420669555663,0.47_0.52_0.73_0.74_0.32,0.62_0.65_0.64_0.62_0.64,10.42793779373169,0.556774853404853,0.76,0.74,0.83,1.0,0.58,0.85,0.75,0.6347266182619354,1746710914.4668477,,RandomForestClassifier,,,,,75,6,,5,4,5,,entropy,False,,
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,200,2.0,,PCA,4,,3.5762786865234375e-06,already_evaluated,0.017071008682250977,0.44_0.4_0.77_0.6_0.35,0.63_0.62_0.63_0.62_0.62,6.428263139724732,0.5142412442049576,0.75,0.73,0.82,1.0,0.53,0.82,0.74,0.6254565661988899,1746710914.542454,,MLPClassifier,sgd,10,,10,,,,,,,adaptive,,,1e-05,tanh
NearMiss,3,,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,2.0,,PCA,5,,3.814697265625e-06,already_evaluated,0.03170490264892578,0.68_0.59_0.71_0.62_0.3,0.63_0.63_0.62_0.62_0.64,31.83974289894104,0.5808687303107455,0.77,0.75,0.86,1.0,0.64,0.83,0.77,0.6271694609751547,1746710914.6188774,,MLPClassifier,lbfgs,5,,10,,,,,,,invscaling,,,1e-05,relu
