rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,1.0,,FunctionTransformer,,,61.643404960632324,fail,4.123292112350464,nan_nan_nan_0.39_nan,0.5_0.5_0.5_0.52_0.5,4.078370141983032,-inf,0.79,0.29,0.2,0.23,0.19,0.43,0.5035439366943362,1746716554.5629625,distance,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
NearMiss,2,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,PCA,8,,3.095750570297241,success,0.010070037841796876,0.4_0.37_0.33_0.36_0.38,0.72_0.73_0.71_0.72_0.73,0.5114186763763428,0.3656629005564681,0.93,0.38,0.8,0.41,0.74,0.54,0.7211855385750778,1746716557.7453325,,RandomForestClassifier,,,,,10,4,,4,4,3,,entropy,False,,
SMOTE,,8,mitigation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,669.2913062572479,success,0.16235089302062988,0.04_0.06_0.04_0.01_0.02,0.81_0.81_0.81_0.82_0.81,133.4182994365692,0.03186169176661951,0.83,0.21,0.39,0.03,1.0,0.24,0.8105713912007972,1746717227.1201267,,MLPClassifier,lbfgs,50,,10,,,,,,,invscaling,,,0.01,relu
SMOTE,,7,features_mitigation_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,10.377086877822876,success,0.012306976318359374,0.12_0.12_0.13_0.12_0.1,0.8_0.8_0.8_0.81_0.8,1.9677984714508057,0.11750262137540923,0.59,0.12,0.52,0.17,0.98,0.5,0.8034168021699266,1746717237.6002982,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,tanh
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,2.014716625213623,success,0.010645771026611328,0.0_0.0_0.0_0.0_0.0,0.76_0.75_0.75_0.76_0.75,0.2978968620300293,0.0010991176195742098,0.8,0.0,0.76,0.15,0.99,0.6,0.7540267931289557,1746717239.709718,,RandomForestClassifier,,,,,10,4,,4,2,3,,entropy,False,,
NearMiss,4,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,0.1,,FunctionTransformer,,,27.172542333602905,success,0.02997417449951172,0.16_0.56_0.66_0.43_0.0,0.48_0.5_0.48_0.5_0.5,5.251743412017822,0.362775708948174,0.76,0.72,0.98,0.78,0.62,0.43,0.49405363981932,1746717266.9764643,,MLPClassifier,sgd,25,,1,,,,,,,invscaling,,,0.001,logistic
NearMiss,4,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,200,0.1,,SelectKBest,,2,36.05541276931763,success,0.04701066017150879,0.43_0.73_0.25_0.52_0.46,0.48_0.49_0.49_0.5_0.49,2.12715482711792,0.47862865867665016,0.68,0.62,0.92,0.57,0.59,0.55,0.49079240177017497,1746717303.1303515,,RandomForestClassifier,,,,,100,4,,5,1,5,,gini,True,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,10,0.5,,SelectKBest,,6,41.74982833862305,success,0.16818451881408691,0.47_0.57_0.33_0.32_0.41,0.53_0.51_0.51_0.51_0.5,6.954196500778198,0.4228708101340802,0.67,0.69,0.44,0.65,0.78,0.88,0.512388567807721,1746717346.3415866,,MLPClassifier,adam,50,,5,,,,,,,adaptive,,,0.01,relu
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,4,,5.218050718307495,success,0.013399362564086914,0.01_0.01_0.0_0.01_0.0,0.68_0.67_0.68_0.67_0.67,0.9216086387634277,0.004984842393874134,0.28,0.01,0.56,0.14,1.0,0.16,0.6749245965351235,1746717351.6576035,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.001,logistic
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,200,1.0,,FunctionTransformer,,,43.141313791275024,fail,3.30138258934021,nan_nan_nan_nan_0.0,0.5_0.5_0.5_0.5_0.5,1.840251588821411,-inf,0.58,0.06,0.0,0.01,0.46,0.0,0.5000905719457782,1746717394.8999603,distance,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,
