rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,FunctionTransformer,,,6.67572021484375e-06,already_evaluated,0.011825323104858398,0.24_0.32_0.0_0.09_0.1,0.66_0.66_0.66_0.68_0.66,0.4419222831726074,0.14982717216161318,0.33,0.46,0.46,1.0,0.15,0.41,0.67,0.6655914941665293,1746699258.0070653,,RandomForestClassifier,,,,,75,4,,2,2,3,,entropy,True,,
SMOTE,,7,rebalancing_normalization_features_mitigation_classification,,False,,False,RobustScaler,LFR_wrapper,1.0,200,0.1,,PCA,4,,5.9604644775390625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746699258.0803578,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,relu
NearMiss,2,,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,4,,7.62939453125e-06,already_evaluated,0.021961355209350587,0.21_0.41_0.1_0.23_0.24,0.64_0.63_0.63_0.67_0.63,0.03436312675476074,0.23836622864280604,0.45,0.51,0.5,1.0,0.31,0.47,0.57,0.638775573539805,1746699258.1298048,distance,KNeighborsClassifier,,,14,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,6.198883056640625e-06,already_evaluated,0.02194056510925293,0.56_0.69_0.61_0.28_0.54,0.65_0.63_0.61_0.61_0.61,6.214248991012573,0.536251500745345,0.73,0.73,0.78,0.86,0.54,0.83,0.78,0.6229779749391406,1746699258.1808128,,RandomForestClassifier,,,,,75,4,,4,2,4,,entropy,True,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,4.291534423828125e-06,already_evaluated,0.007448053359985352,0.3_0.2_0.0_0.2_0.38,0.63_0.65_0.64_0.63_0.62,0.09536209106445312,0.21641780120040988,0.52,0.6,0.6,0.92,0.22,0.68,0.72,0.6331615018254186,1746699258.2329812,,RandomForestClassifier,,,,,25,3,,2,2,5,,entropy,True,,
FunctionTransformer,,,normalization_rebalancing_features_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,8,,6.9141387939453125e-06,already_evaluated,0.020465707778930663,0.09_0.18_0.0_0.2_0.19,0.69_0.67_0.68_0.69_0.67,28.603505659103394,0.13312965228839946,0.34,0.42,0.53,1.0,0.13,0.45,0.7,0.6827805945589827,1746699258.284472,,MLPClassifier,lbfgs,50,,1,,,,,,,adaptive,,,0.001,logistic
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,SelectKBest,,10,5.9604644775390625e-06,already_evaluated,0.3485104084014893,0.19_0.13_0.2_0.38_0.3,0.65_0.65_0.63_0.67_0.65,0.023699855804443358,0.24060936429937171,0.52,0.48,0.61,1.0,0.25,0.47,0.46,0.6507582753416796,1746699258.3372116,uniform,KNeighborsClassifier,,,5,,,,manhattan,,,,,,,,
NearMiss,4,,rebalancing_normalization_features_mitigation_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,200,0.1,,FunctionTransformer,,,1.0967254638671875e-05,already_evaluated,0.017163562774658202,0.39_0.16_0.44_0.35_0.28,0.66_0.65_0.6_0.63_0.59,1.8421998023986816,0.3223752990783629,0.43,0.58,0.64,0.93,0.33,0.79,0.88,0.6230681274221583,1746699258.401181,,RandomForestClassifier,,,,,50,2,,4,4,1,,gini,True,,
NearMiss,1,,normalization_rebalancing_features_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,2.0,200,0.5,,FunctionTransformer,,,8.106231689453125e-06,already_evaluated,0.02357025146484375,0.48_0.47_0.48_0.41_0.48,0.59_0.62_0.56_0.57_0.57,1.6073830127716064,0.4657797723842082,0.47,0.69,0.71,0.91,0.49,0.77,0.89,0.5824504913279444,1746699258.4651918,,RandomForestClassifier,,,,,100,6,,4,2,1,,entropy,True,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,4,,5.4836273193359375e-06,already_evaluated,0.006033182144165039,0.41_0.4_0.0_0.2_0.53,0.65_0.65_0.64_0.64_0.64,0.09390263557434082,0.3067814370972195,0.52,0.72,0.73,0.82,0.37,0.72,0.7,0.6461604595717303,1746699258.5441728,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
