rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,2,5.245208740234375e-06,already_evaluated,0.006134176254272461,,,6.812184572219849,-inf,-inf,-inf,-inf,-inf,-inf,1746707656.910211,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,5,6.4373016357421875e-06,already_evaluated,0.003907632827758789,0.85_0.88_0.82_0.7_0.76,0.68_0.69_0.61_0.63_0.64,0.12590570449829103,0.8021786234310533,0.99,0.95,0.84,0.92,0.6519047619047619,1746707656.9740758,,MLPClassifier,lbfgs,25,,1,,,,,,,constant,,,1e-05,tanh
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.011883068084716796,0.45_0.49_0.83_0.9_0.15,0.56_0.5_0.55_0.52_0.52,1.126149845123291,0.5649686783937548,0.78,0.9,0.7,0.84,0.5288095238095238,1746707657.0377092,,RandomForestClassifier,,,,,100,3,,5,4,1,,entropy,False,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,4,3.5762786865234375e-06,already_evaluated,0.0054415702819824215,0.5_0.65_0.46_0.76_0.61,0.65_0.69_0.7_0.64_0.69,0.1225057601928711,0.5957583271078511,0.97,0.81,0.6,0.87,0.6719047619047618,1746707657.0923104,,RandomForestClassifier,,,,,50,2,,5,4,1,,entropy,True,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,1.0,,PCA,4,,3.814697265625e-06,already_evaluated,0.007713174819946289,0.56_0.6_0.7_0.7_0.74,0.45_0.55_0.54_0.52_0.54,0.9960608959197998,0.659255861365953,0.76,0.91,0.81,0.81,0.5173809523809523,1746707657.1501734,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.007299232482910156,0.14_0.37_0.24_0.5_0.37,0.66_0.65_0.65_0.65_0.7,0.1605377197265625,0.32230039525691695,1.0,0.53,0.32,0.6,0.6621428571428571,1746707657.2080905,,RandomForestClassifier,,,,,75,4,,4,2,2,,gini,True,,
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.004639720916748047,0.56_0.64_0.45_0.44_0.0,0.65_0.59_0.56_0.59_0.6,0.06706151962280274,0.41751530837699635,0.8,1.0,0.47,0.68,0.6002380952380952,1746707657.2659667,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,5,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.0033578872680664062,0.18_0.74_0.79_0.76_0.63,0.66_0.68_0.69_0.66_0.65,0.34525532722473146,0.6193422776403208,0.89,0.83,0.69,0.87,0.67,1746707657.325359,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,tanh
NearMiss,1,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,100,0.1,,SelectKBest,,8,3.814697265625e-06,already_evaluated,0.005487918853759766,0.84_0.78_0.9_0.6_0.74,0.56_0.6_0.5_0.61_0.51,1.074660301208496,0.7722102288352591,0.86,0.92,0.89,0.9,0.5566666666666666,1746707657.3906815,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,10,2.0,,PCA,2,,3.814697265625e-06,already_evaluated,0.007340669631958008,0.42_0.48_0.72_0.71_0.0,0.55_0.55_0.55_0.52_0.5,7.20869631767273,0.4653460362267701,0.61,1.0,0.51,0.81,0.5333333333333334,1746707657.4564853,,RandomForestClassifier,,,,,10,6,,6,3,4,,entropy,False,,
SMOTE,,8,features_mitigation_rebalancing_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,1.0,100,0.5,,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.005394268035888672,0.49_1.0_1.0_1.0_0.95,0.45_0.5_0.5_0.5_0.5,0.6550503730773926,0.8866959064327485,0.98,0.89,1.0,0.95,0.48904761904761906,1746707657.523264,,MLPClassifier,sgd,5,,10,,,,,,,constant,,,1e-05,relu
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,100,2.0,,FunctionTransformer,,,4.76837158203125e-05,already_evaluated,0.011857366561889649,1.0_0.9_0.98_0.9_1.0,0.5_0.56_0.5_0.52_0.5,0.9902361392974853,0.9563302752293577,0.97,1.0,0.96,0.98,0.516904761904762,1746707657.5923164,,RandomForestClassifier,,,,,100,2,,5,4,1,,gini,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.004105806350708008,0.9_0.9_0.99_0.9_0.98,0.52_0.54_0.5_0.52_0.52,0.01878490447998047,0.9344954128440367,0.98,1.0,0.94,0.98,0.5197619047619048,1746707657.6641023,,RandomForestClassifier,,,,,10,4,,4,1,3,,gini,True,,
