rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,FunctionTransformer,,,,,SelectKBest,,6,0.21860218048095703,success,0.004985618591308594,0.88_0.81_0.91_0.95_0.92,0.57_0.58_0.54_0.55_0.55,0.019070005416870116,0.89079855124234,0.95,0.97,0.97,0.94,0.556904761904762,1746719873.5698643,,RandomForestClassifier,,,,,10,4,,5,2,3,,entropy,True,,
SMOTE,,6,normalization_rebalancing_features_mitigation_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,1.9586691856384277,success,0.004823064804077149,0.33_0.53_0.78_0.75_0.88,0.68_0.66_0.54_0.62_0.61,0.3502716064453125,0.6529845128250283,0.89,0.88,0.67,0.92,0.62,1746719872.9191232,,MLPClassifier,adam,10,,5,,,,,,,constant,,,0.01,tanh
NearMiss,3,,normalization_features_mitigation_rebalancing_classification,,False,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,10,3.1402523517608643,success,0.010025501251220703,0.89_0.79_0.67_0.74_0.63,0.63_0.6_0.54_0.55_0.55,0.5934280395507813,0.7441429613542587,0.78,0.97,0.8,0.88,0.5723809523809524,1746719870.3518808,,RandomForestClassifier,,,,,50,2,,6,2,4,,entropy,True,,
NearMiss,2,,rebalancing_normalization_mitigation_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,0.5,,FunctionTransformer,,,12.27004599571228,fail,0.05043644905090332,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.3477681636810304,-inf,-inf,-inf,-inf,-inf,0.5,1746719866.7849052,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,8,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,SelectKBest,,1,1.526911735534668,success,0.0028411388397216798,0.29_0.46_0.49_0.59_0.56,0.62_0.67_0.68_0.65_0.7,0.27278714179992675,0.4784080587526464,1.0,0.53,0.57,0.58,0.6626190476190474,1746719854.092018,,MLPClassifier,lbfgs,10,,5,,,,,,,adaptive,,,0.001,relu
SMOTE,,8,rebalancing_normalization_features_mitigation_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,6,,0.0003631114959716797,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746719852.1427693,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,5,rebalancing_mitigation_features_normalization_classification,,False,,True,RobustScaler,LFR_wrapper,0.5,10,1.0,,FunctionTransformer,,,51.2126407623291,fail,0.007142210006713867,0.93_nan_0.88_0.48_0.74,0.54_0.5_0.52_0.58_0.52,10.212323570251465,-inf,0.9,0.87,0.91,0.95,0.5319047619047619,1746719851.7120807,,RandomForestClassifier,,,,,10,4,,4,2,5,,gini,True,,
FunctionTransformer,,,features_normalization_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,10,4.804378032684326,success,0.008916807174682618,0.9_0.72_0.94_0.9_0.95,0.55_0.57_0.51_0.6_0.53,0.9287652969360352,0.883778238137516,0.95,0.93,0.97,0.93,0.549047619047619,1746719799.9887443,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,7,mitigation_rebalancing_normalization_features_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.8971421718597412,success,0.003677034378051758,0.31_0.64_0.75_0.61_0.74,0.65_0.59_0.59_0.67_0.69,0.15713486671447754,0.6105354295498097,0.95,0.92,0.63,0.8,0.6404761904761905,1746719788.0632808,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,rebalancing_normalization_mitigation_features_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,2.0,,FunctionTransformer,,,14.376411437988281,fail,0.007153081893920899,,,2.865371084213257,-inf,-inf,-inf,-inf,-inf,-inf,1746719786.747718,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,2.141549587249756,success,0.005325937271118164,0.66_0.84_0.82_0.78_0.73,0.64_0.62_0.6_0.66_0.63,0.4026951313018799,0.7675467952577694,0.92,0.96,0.82,0.83,0.6316666666666666,1746719771.869811,,MLPClassifier,adam,50,,1,,,,,,,constant,,,0.001,relu
SMOTE,,7,features_rebalancing_mitigation_normalization_classification,False,,True,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,4,1.1476881504058838,success,0.0038793087005615234,0.0_0.98_0.0_1.0_0.94,0.5_0.5_0.5_0.5_0.47,0.2061793327331543,0.5857121371634832,0.79,0.59,0.6,0.79,0.495,1746719769.2911334,,MLPClassifier,sgd,50,,10,,,,,,,invscaling,,,0.0001,relu
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,8.484930753707886,success,0.007193613052368164,0.96_0.97_1.0_1.0_1.0,0.54_0.49_0.5_0.5_0.5,1.6681658744812011,0.9861698956780923,0.99,1.0,1.0,0.99,0.5061904761904762,1746719767.7217245,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,100,0.1,,FunctionTransformer,,,7.03524923324585,success,0.0077745914459228516,0.94_0.9_0.97_0.9_0.94,0.55_0.57_0.5_0.52_0.53,1.377568531036377,0.9320576671035387,0.96,1.0,0.95,0.97,0.5335714285714286,1746719758.8084488,,RandomForestClassifier,,,,,50,5,,4,2,2,,entropy,False,,
SMOTE,,8,normalization_mitigation_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,SelectKBest,,1,6.7251200675964355,success,0.0032007694244384766,0.29_0.54_0.55_0.46_0.48,0.62_0.69_0.69_0.64_0.7,1.3092844486236572,0.46255087932507283,0.96,0.53,0.6,0.59,0.6695238095238094,1746719751.3476412,,MLPClassifier,lbfgs,25,,10,,,,,,,constant,,,0.001,logistic
