rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__type,classification__solver,classification__n_neurons,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,False,,False,RobustScaler,LFR_wrapper,2.0,100,0.1,,SelectKBest,,8,5.0067901611328125e-06,already_evaluated,0.014449644088745116,0.84_0.74_0.68_0.79_0.74,0.56_0.59_0.55_0.54_0.52,1.823335838317871,0.758136938799133,0.81,0.97,0.84,0.89,0.552142857142857,1746694689.7272272,RandomForestClassifier,,,,100,4,4,1,4,,gini,False,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,4.291534423828125e-06,already_evaluated,0.011288976669311524,0.83_0.6_0.82_0.88_0.81,0.62_0.55_0.53_0.53_0.52,1.3564929008483886,0.7878827210079059,0.82,1.0,0.86,0.87,0.5504761904761905,1746694689.8144577,RandomForestClassifier,,,,100,6,5,1,1,,entropy,False,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,10,4.5299530029296875e-06,already_evaluated,0.007414054870605469,0.95_0.9_1.0_1.0_0.9,0.54_0.56_0.5_0.5_0.54,0.8879298686981201,0.9491525423728813,0.96,1.0,0.95,0.97,0.5285714285714286,1746694689.9038754,MLPClassifier,adam,50,1,,,,,,constant,,,1e-05,relu
FunctionTransformer,,,normalization_features_mitigation_rebalancing_classification,True,,True,,StandardScaler,LFR_wrapper,0.5,100,0.1,,SelectKBest,,7,7.62939453125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694689.9958048,MLPClassifier,adam,25,1,,,,,,constant,,,0.0001,relu
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,6.9141387939453125e-06,already_evaluated,0.008264303207397461,0.71_0.56_0.68_0.54_0.29,0.64_0.62_0.55_0.57_0.51,0.15077037811279298,0.55812605230711,0.71,1.0,0.63,0.83,0.579047619047619,1746694690.0835497,RandomForestClassifier,,,,75,2,4,3,5,,entropy,True,,
SMOTE,,6,rebalancing_normalization_features_mitigation_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,50,1.0,,FunctionTransformer,,,9.5367431640625e-06,already_evaluated,0.0065100669860839845,0.99_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.8549705505371094,0.9981818181818183,1.0,1.0,1.0,1.0,0.4992857142857143,1746694690.1713736,MLPClassifier,sgd,5,10,,,,,,constant,,,0.001,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,5.0067901611328125e-06,already_evaluated,0.0051116943359375,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.037122678756713864,1.0,1.0,1.0,1.0,1.0,0.5,1746694690.2586365,RandomForestClassifier,,,,25,3,2,2,5,,entropy,True,,
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,200,0.1,,PCA,4,,4.291534423828125e-06,already_evaluated,0.013377237319946288,0.93_0.19_0.72_0.39_0.67,0.54_0.54_0.6_0.55_0.61,4.234768199920654,0.5810110371053373,0.94,0.74,0.87,0.69,0.5676190476190477,1746694690.3456142,RandomForestClassifier,,,,10,3,3,2,1,,entropy,True,,
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.004788637161254883,0.0_0.64_0.71_0.63_0.75,0.66_0.7_0.62_0.62_0.62,1.1525502681732178,0.5461916685955572,0.89,0.76,0.68,0.8,0.6430952380952382,1746694690.4328954,MLPClassifier,lbfgs,50,5,,,,,,invscaling,,,0.01,tanh
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,50,0.5,,SelectKBest,,10,3.5762786865234375e-06,already_evaluated,0.00653681755065918,0.96_0.9_1.0_0.9_1.0,0.54_0.57_0.5_0.52_0.5,2.7200241088867188,0.9527272727272728,0.96,1.0,0.96,0.97,0.5247619047619048,1746694690.5214763,MLPClassifier,lbfgs,5,1,,,,,,constant,,,1e-05,tanh
SMOTE,,5,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,2.0,,SelectKBest,,9,4.0531158447265625e-06,already_evaluated,0.007137012481689453,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,3.192393398284912,-inf,-inf,-inf,-inf,-inf,0.5,1746694690.6185596,MLPClassifier,sgd,5,1,,,,,,invscaling,,,0.001,tanh
SMOTE,,5,normalization_mitigation_features_rebalancing_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.25,SelectKBest,,9,3.814697265625e-06,already_evaluated,0.01042475700378418,0.51_0.44_0.49_0.68_0.5,0.66_0.66_0.75_0.67_0.74,0.10836420059204102,0.5244835962000647,0.95,0.79,0.6,0.75,0.695952380952381,1746694690.7160745,RandomForestClassifier,,,,75,2,2,1,1,,gini,True,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,4,,3.814697265625e-06,already_evaluated,0.005650234222412109,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,4.186538934707642,1.0,1.0,1.0,1.0,1.0,0.5,1746694690.8175902,MLPClassifier,sgd,25,1,,,,,,constant,,,0.0001,logistic
NearMiss,2,,features_normalization_rebalancing_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,6,,4.0531158447265625e-06,already_evaluated,0.009605216979980468,0.54_0.35_0.75_0.65_0.8,0.68_0.64_0.53_0.54_0.5,0.16074032783508302,0.6183274160396017,0.83,1.0,0.73,0.68,0.577857142857143,1746694690.916012,RandomForestClassifier,,,,100,6,5,1,4,,entropy,True,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,SelectKBest,,6,3.814697265625e-06,already_evaluated,0.004590606689453125,0.23_0.55_0.53_0.61_0.19,0.7_0.64_0.66_0.6_0.62,0.01900320053100586,0.4227073891110589,0.67,0.92,0.51,0.77,0.6445238095238095,1746694691.0173872,RandomForestClassifier,,,,10,2,2,2,2,,entropy,False,,
SMOTE,,6,rebalancing_normalization_features_mitigation_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,7,4.0531158447265625e-06,already_evaluated,0.004455280303955078,0.72_0.82_0.9_0.76_0.0,0.57_0.64_0.43_0.67_0.49,0.17558012008666993,0.6394300126103405,0.76,0.8,0.84,0.72,0.5595238095238095,1746694691.1181183,MLPClassifier,lbfgs,10,1,,,,,,invscaling,,,0.0001,relu
SMOTE,,7,normalization_mitigation_rebalancing_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,PCA,7,,3.814697265625e-06,already_evaluated,0.005510854721069336,0.72_0.71_0.48_0.6_0.52,0.66_0.68_0.7_0.62_0.68,0.2298288345336914,0.6079016897081413,0.76,0.83,0.94,0.67,0.6683333333333333,1746694691.2201056,MLPClassifier,adam,5,10,,,,,,constant,,,1e-05,logistic
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.75,PCA,4,,3.814697265625e-06,already_evaluated,0.005762958526611328,0.0_0.13_0.26_0.0_0.0,0.51_0.57_0.57_0.51_0.53,0.13904185295104982,0.07714285714285715,0.54,0.81,0.28,0.54,0.5364285714285714,1746694691.325648,MLPClassifier,sgd,25,1,,,,,,invscaling,,,0.01,logistic
FunctionTransformer,,,normalization_features_mitigation_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,8,,4.0531158447265625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694691.4297104,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,normalization_rebalancing_features_mitigation_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.7642974853515625e-05,already_evaluated,0.004498338699340821,0.69_0.86_0.85_0.61_0.87,0.61_0.59_0.55_0.63_0.65,0.09066944122314453,0.7767765289738724,0.9,0.98,0.81,0.83,0.6080952380952381,1746694691.5365946,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,logistic
SMOTE,,8,normalization_features_mitigation_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,1.0,10,0.1,,FunctionTransformer,,,6.198883056640625e-06,already_evaluated,0.007910490036010742,0.42_1.0_0.0_1.0_1.0,0.55_0.5_0.51_0.5_0.5,2.200347423553467,0.683076923076923,0.84,0.8,0.68,0.96,0.5123809523809524,1746694691.6443574,MLPClassifier,sgd,5,20,,,,,,constant,,,0.0001,logistic
SMOTE,,5,features_rebalancing_normalization_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,100,0.1,,FunctionTransformer,,,6.9141387939453125e-06,already_evaluated,0.006258916854858398,0.85_0.4_0.78_0.65_0.59,0.59_0.56_0.46_0.53_0.56,2.034350347518921,0.6531335064593425,0.87,0.79,0.92,0.79,0.5385714285714286,1746694691.7541032,MLPClassifier,lbfgs,5,1,,,,,,adaptive,,,0.0001,tanh
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,0.5,,SelectKBest,,7,5.4836273193359375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694691.863798,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,relu
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.0035986900329589844,0.65_0.78_0.78_0.8_0.82,0.67_0.61_0.61_0.64_0.55,0.11138176918029785,0.7660379032741637,0.87,0.93,0.89,0.85,0.615952380952381,1746694691.973773,MLPClassifier,lbfgs,5,1,,,,,,constant,,,1e-05,logistic
