rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,4,,features_mitigation_rebalancing_normalization_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,PCA,5,,0.34819507598876953,success,0.004050207138061523,0.77_0.48_0.74_0.71_0.36,0.61_0.54_0.55_0.52_0.52,0.04715814590454102,0.6111037747149762,0.7,1.0,0.68,0.83,0.549047619047619,1746692266.0504208,,RandomForestClassifier,,,,,25,2,,2,4,2,,entropy,True,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,10,0.1,,SelectKBest,,9,4.640801668167114,success,0.006278467178344726,0.86_0.91_0.9_0.94_0.87,0.54_0.56_0.51_0.51_0.59,0.900938606262207,0.8956733587292517,0.98,0.96,0.94,0.93,0.5426190476190477,1746692265.5285683,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
FunctionTransformer,,,normalization_features_mitigation_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,10,0.1,,SelectKBest,,7,0.03728675842285156,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692260.6815727,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,1e-05,logistic
SMOTE,,5,rebalancing_normalization_mitigation_features_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,100,0.5,,SelectKBest,,6,5.106882333755493,success,0.013927793502807618,0.0_0.62_0.67_0.65_0.63,0.59_0.56_0.52_0.57_0.64,0.7681525707244873,0.5163303707205046,0.72,0.94,0.64,0.76,0.5761904761904761,1746692260.4362917,,RandomForestClassifier,,,,,100,6,,6,3,1,,gini,False,,
NearMiss,2,,features_rebalancing_normalization_mitigation_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.3591470718383789,success,0.005750179290771484,0.3_0.36_0.54_0.67_0.15,0.7_0.66_0.63_0.64_0.62,0.044899940490722656,0.40320239659139084,0.64,0.96,0.49,0.66,0.6483333333333333,1746692255.1303825,,RandomForestClassifier,,,,,25,3,,2,4,1,,gini,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,10,0.42142820358276367,success,0.005442142486572266,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.058282899856567386,1.0,1.0,1.0,1.0,1.0,0.5,1746692251.7722342,,RandomForestClassifier,,,,,50,3,,5,4,1,,gini,False,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,21.39802646636963,success,0.00800461769104004,0.95_1.0_0.93_0.9_0.9,0.53_0.5_0.51_0.52_0.52,4.2500235080719,0.9359093362115489,0.96,1.0,0.95,0.98,0.5161904761904761,1746692251.1807582,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
FunctionTransformer,,,features_normalization_mitigation_rebalancing_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.7269964218139648,success,0.008731222152709961,0.98_0.95_0.98_0.9_0.97,0.52_0.52_0.52_0.52_0.52,0.1131260871887207,0.9573532588632604,0.98,1.0,0.98,0.98,0.5226190476190476,1746692229.5712998,,RandomForestClassifier,,,,,75,2,,6,4,3,,entropy,True,,
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,PCA,1,,0.22318673133850098,success,0.012923288345336913,0.93_0.94_0.95_0.99_0.9,0.53_0.56_0.5_0.53_0.52,0.0036246776580810547,0.9407669317029089,0.95,1.0,0.97,0.96,0.5278571428571428,1746692228.6450236,uniform,KNeighborsClassifier,,,17,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,,False,,True,RobustScaler,CorrelationRemover,,,,1.0,PCA,4,,0.0004448890686035156,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692228.2243118,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
