rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,6,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,1.0,,FunctionTransformer,,,12.71975302696228,fail,0.014310979843139648,0.32_0.96_0.0_nan_0.0,0.58_0.51_0.52_0.5_0.64,2.4690927505493163,-inf,0.56,0.71,0.79,0.84,0.46,0.79,0.76,0.5494130459294964,1746724521.061404,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,53.17872357368469,success,0.023169612884521483,0.34_0.26_0.0_0.61_0.73,0.65_0.63_0.62_0.63_0.61,9.745600509643555,0.3895742292141714,0.55,0.65,0.71,0.75,0.41,0.72,0.66,0.626829221375921,1746724506.8124044,,MLPClassifier,lbfgs,5,,20,,,,,,,constant,,,0.0001,relu
FunctionTransformer,,,features_rebalancing_normalization_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,170.64180159568787,success,0.14076633453369142,0.28_0.09_0.19_0.24_0.21,0.66_0.66_0.64_0.67_0.65,33.76396241188049,0.20066124754046655,0.36,0.56,0.56,0.99,0.27,0.67,0.88,0.6579331176135832,1746724453.5484877,,MLPClassifier,lbfgs,50,,20,,,,,,,invscaling,,,0.001,logistic
NearMiss,2,,normalization_mitigation_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,7,,0.965808629989624,success,0.007682895660400391,0.26_0.12_0.13_0.35_0.12,0.65_0.65_0.64_0.63_0.64,0.1281193733215332,0.19613502620242498,0.49,0.7,0.67,0.92,0.2,0.66,0.68,0.6409117912731099,1746724282.839846,,RandomForestClassifier,,,,,10,3,,2,2,3,,entropy,True,,
NearMiss,4,,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,PCA,6,,0.00033593177795410156,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746724281.808869,,RandomForestClassifier,,,,,25,6,,6,1,1,,entropy,True,,
NearMiss,2,,rebalancing_features_normalization_mitigation_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,SelectKBest,,6,0.9925253391265869,success,0.036560344696044925,0.1_0.38_0.11_0.11_0.33,0.65_0.65_0.64_0.67_0.64,0.04950394630432129,0.2044652472724892,0.45,0.48,0.56,1.0,0.21,0.59,0.8,0.6501089354080485,1746724281.7437305,distance,KNeighborsClassifier,,,10,,,,minkowski,,,,,,,,
SMOTE,,8,normalization_features_rebalancing_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,0.1,,PCA,2,,0.0004801750183105469,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746724280.6879418,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
FunctionTransformer,,,features_rebalancing_normalization_mitigation_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.5084409713745117,success,0.008022022247314454,0.24_0.08_0.0_0.23_0.0,0.67_0.67_0.67_0.69_0.67,0.033748531341552736,0.10771587669631807,0.37,0.5,0.51,1.0,0.11,0.41,0.55,0.6744601630631253,1746724280.6230674,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,8,rebalancing_features_mitigation_normalization_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,8,1.267606496810913,success,0.050597429275512695,0.43_0.21_0.24_0.11_0.55,0.67_0.65_0.66_0.66_0.66,0.0973628044128418,0.30907179141791985,0.59,0.65,0.66,0.97,0.31,0.6,0.69,0.6586127766461676,1746724278.9244943,distance,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,
NearMiss,4,,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,4,,2.1534950733184814,success,0.17659444808959962,0.53_0.53_0.62_0.64_0.49,0.63_0.62_0.62_0.62_0.62,0.061694097518920896,0.5628143672750479,0.71,0.81,0.74,0.88,0.58,0.8,0.8,0.6234308687045014,1746724277.5805,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,FunctionTransformer,,,5.353802680969238,success,0.4653747081756592,0.2_0.19_0.22_0.36_0.33,0.65_0.65_0.65_0.68_0.65,0.07670283317565918,0.2592328139427882,0.45,0.46,0.55,0.99,0.28,0.46,0.42,0.656476873859271,1746724275.3701668,uniform,KNeighborsClassifier,,,7,,,,manhattan,,,,,,,,
