rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,5,features_rebalancing_normalization_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,7,,4.5299530029296875e-06,already_evaluated,0.017272472381591797,0.46_0.41_0.36_0.45_0.39,0.7_0.69_0.71_0.68_0.71,1.2736963272094726,0.4157720324130274,0.83,0.52,0.54,0.42,1.0,0.69,0.6995925331743575,1746702392.1702497,,RandomForestClassifier,,,,,50,6,,2,1,3,,gini,False,,
NearMiss,2,,normalization_features_rebalancing_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,1.0,,PCA,4,,5.7220458984375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746702392.257759,,RandomForestClassifier,,,,,100,5,,4,1,1,,gini,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,6.9141387939453125e-06,already_evaluated,0.021576786041259767,nan_1.0_1.0_nan_1.0,0.5_0.5_0.5_0.5_0.5,9.112970924377441,-inf,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1746702392.347365,,MLPClassifier,sgd,10,,5,,,,,,,adaptive,,,0.01,logistic
SMOTE,,5,features_rebalancing_normalization_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.04830751419067383,0.6_0.57_0.69_0.6_0.77,0.53_0.51_0.5_0.5_0.51,3.450672960281372,0.6468771318427395,0.88,0.89,0.79,0.93,0.81,0.82,0.5088314101428075,1746702392.435584,,RandomForestClassifier,,,,,100,6,,4,2,4,,gini,False,,
SMOTE,,7,features_normalization_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,200,0.1,,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.012668418884277343,0.39_0.52_0.45_0.61_0.4,0.68_0.72_0.71_0.7_0.69,3.8344905853271483,0.474975762109612,0.71,0.7,0.47,0.6,1.0,0.86,0.701101154435791,1746702392.5296113,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,7,mitigation_normalization_features_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,4,,4.5299530029296875e-06,already_evaluated,2.0682811737060547,0.0_nan_0.0_0.0_0.0,0.5_0.5_0.5_0.5_0.5,6.816754770278931,-inf,0.75,0.11,0.0,0.25,0.0,0.0,0.5001200142573928,1746702392.625174,uniform,KNeighborsClassifier,,,14,,,,euclidean,,,,,,,,
SMOTE,,7,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,100,0.1,,SelectKBest,,3,117.60963582992554,success,0.031366395950317386,0.5_0.63_0.78_0.53_0.29,0.52_0.5_0.51_0.51_0.49,10.79189944267273,0.5470306247362483,0.77,0.8,0.55,0.74,0.9,0.97,0.5072324000467788,1746702511.6473172,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,tanh
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,11.025152444839478,success,0.010301160812377929,0.2_0.21_0.19_0.24_0.21,0.7_0.72_0.71_0.71_0.7,2.1313520431518556,0.2121097298329886,0.42,0.21,0.43,0.24,1.0,0.66,0.7084274596357307,1746702522.7748036,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,1e-05,logistic
SMOTE,,6,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,4,,0.0005428791046142578,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746702522.8824887,,RandomForestClassifier,,,,,50,2,,6,4,1,,gini,True,,
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.3842449188232422,success,0.010566377639770507,0.19_0.14_0.17_0.17_0.15,0.78_0.77_0.78_0.78_0.78,0.20163340568542482,0.16343431375786516,1.0,0.25,0.71,0.16,0.97,0.31,0.7782936537003058,1746702524.372761,,RandomForestClassifier,,,,,10,6,,4,4,3,,gini,False,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,8,,188.3736605644226,success,0.01759161949157715,0.19_0.11_0.19_0.1_0.13,0.77_0.78_0.78_0.78_0.77,37.58358430862427,0.1438412012202232,0.8,0.25,0.52,0.14,1.0,0.65,0.774526589817752,1746702712.8631396,,MLPClassifier,lbfgs,50,,1,,,,,,,adaptive,,,0.0001,relu
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,2,,7.973395586013794,success,0.013368511199951172,0.59_0.66_0.55_0.72_0.58,0.63_0.61_0.63_0.62_0.62,1.5145121097564698,0.618158620806773,0.9,0.88,0.66,0.62,0.99,0.95,0.6243474760527095,1746702720.9515269,,RandomForestClassifier,,,,,10,5,,6,4,4,,gini,False,,
NearMiss,3,,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,0.1,,PCA,4,,0.0006792545318603516,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746702721.0652962,,RandomForestClassifier,,,,,10,4,,2,2,3,,gini,False,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,7,644.2655985355377,success,0.21801271438598632,0.29_0.29_0.31_0.33_0.29,0.71_0.73_0.72_0.7_0.71,128.29986495971679,0.3036641797140679,0.46,0.3,0.59,0.47,1.0,0.72,0.7159844274461666,1746703365.4443057,,MLPClassifier,lbfgs,50,,20,,,,,,,adaptive,,,0.0001,logistic
