rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,2.0,,SelectKBest,,8,6.056886196136475,success,0.016423988342285156,0.89_0.9_1.0_0.76_0.9,0.53_0.56_0.5_0.56_0.52,0.7961827278137207,0.8892910653459373,0.91,0.97,0.92,0.95,0.5330952380952382,1746732865.0756114,uniform,KNeighborsClassifier,,,16,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,200,0.1,,SelectKBest,,6,5.8810954093933105,success,0.013964366912841798,0.96_0.9_1.0_0.99_1.0,0.54_0.57_0.5_0.51_0.5,0.6088074684143067,0.9708924103419516,0.98,1.0,0.98,0.98,0.5230952380952381,1746732851.7210212,uniform,KNeighborsClassifier,,,15,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,6,,0.32715725898742676,success,0.005089998245239258,1.0_1.0_1.0_0.98_1.0,0.5_0.5_0.5_0.5_0.5,0.03994598388671875,0.9963302752293579,1.0,1.0,1.0,1.0,0.5009523809523809,1746732845.338888,,RandomForestClassifier,,,,,25,2,,4,3,1,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,50,2.0,,PCA,8,,3.223177671432495,success,0.006190824508666992,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.6181770324707031,1.0,1.0,1.0,1.0,1.0,0.5,1746732844.4913738,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,logistic
SMOTE,,6,features_rebalancing_mitigation_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,1.0,200,0.1,,FunctionTransformer,,,3.2292773723602295,success,0.06021409034729004,0.99_0.9_0.72_0.9_1.0,0.5_0.57_0.54_0.52_0.5,0.502139663696289,0.9031359466221851,0.92,1.0,0.94,0.95,0.5247619047619048,1746732840.7568057,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,4,,0.6655230522155762,success,0.0057754039764404295,0.75_0.91_0.59_0.84_0.36,0.62_0.61_0.62_0.61_0.6,0.10606927871704101,0.6924814450601786,0.89,0.98,0.7,0.84,0.6133333333333334,1746732837.022488,,RandomForestClassifier,,,,,25,6,,5,2,5,,entropy,False,,
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,100,1.0,,SelectKBest,,5,8.121189832687378,success,0.0076863765716552734,0.84_0.74_0.68_0.79_0.9,0.56_0.58_0.54_0.56_0.54,0.8417205810546875,0.7900597887374343,0.8,0.98,0.86,0.87,0.5585714285714285,1746732835.8634293,,RandomForestClassifier,,,,,50,5,,3,4,1,,gini,True,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.9943926334381104,success,0.07843136787414551,0.84_0.72_0.81_0.84_0.9,0.6_0.66_0.6_0.6_0.55,0.03816332817077637,0.8215470623881396,0.89,0.99,0.9,0.88,0.6016666666666668,1746732827.2556221,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
SMOTE,,5,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,2,,0.1525278091430664,success,0.004109621047973633,0.57_0.56_0.68_0.63_0.56,0.53_0.5_0.53_0.51_0.5,0.007281827926635742,0.6000402932977252,0.74,0.8,0.84,0.73,0.5161904761904761,1746732819.01978,distance,KNeighborsClassifier,,,5,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,PCA,5,,0.6993846893310547,success,0.005436468124389649,0.69_0.52_0.65_0.41_0.35,0.65_0.59_0.63_0.58_0.68,0.1144218921661377,0.5243079286305092,0.84,0.96,0.56,0.85,0.6247619047619046,1746732818.1057482,,RandomForestClassifier,,,,,50,3,,5,4,2,,entropy,True,,
