rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,PCA,4,,21.314573049545288,success,0.055927610397338866,0.43_0.55_0.74_0.54_0.84,0.64_0.64_0.57_0.61_0.6,4.062070274353028,0.6209893349508249,0.72,0.76,0.81,0.96,0.7,0.85,0.78,0.6114410737196053,1746735854.3924534,,MLPClassifier,sgd,50,,5,,,,,,,invscaling,,,1e-05,tanh
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,FunctionTransformer,,,4.144278526306152,success,0.007924699783325195,0.26_0.23_0.43_0.35_0.25,0.7_0.66_0.68_0.7_0.68,0.7822816848754883,0.30202741118051346,0.62,0.6,0.58,1.0,0.3,0.51,0.51,0.6862066275829181,1746735831.0238516,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,rebalancing_mitigation_normalization_features_classification,False,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,0.8874506950378418,success,0.006441593170166016,0.42_0.17_0.24_0.08_0.21,0.66_0.68_0.67_0.68_0.66,0.1355733871459961,0.2245810896732209,0.44,0.55,0.62,1.0,0.25,0.39,0.44,0.6681269618966754,1746735826.7307355,,RandomForestClassifier,,,,,10,4,,4,4,3,,gini,True,,
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,2.0,,SelectKBest,,6,26.592421054840088,success,0.0205291748046875,0.57_0.56_0.74_0.74_0.35,0.65_0.64_0.64_0.62_0.62,4.450487375259399,0.5937604388883377,0.76,0.75,0.86,1.0,0.63,0.84,0.76,0.635913379950418,1746735825.6969402,,RandomForestClassifier,,,,,100,3,,5,1,1,,gini,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,9,2.577237844467163,success,0.014154481887817382,0.46_0.35_0.41_0.41_0.44,0.67_0.69_0.68_0.68_0.66,0.42270283699035643,0.41471398232546053,0.52,0.61,0.65,1.0,0.47,0.56,0.58,0.6756832312866137,1746735798.9524584,,RandomForestClassifier,,,,,75,6,,5,2,5,,entropy,True,,
FunctionTransformer,,,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.5,,SelectKBest,,7,29.45521306991577,success,0.015603971481323243,0.43_0.41_0.78_0.55_0.3,0.63_0.62_0.63_0.61_0.64,4.070428133010864,0.49262721183726715,0.73,0.73,0.81,1.0,0.53,0.82,0.76,0.6262438874818457,1746735796.229275,,RandomForestClassifier,,,,,50,6,,2,1,4,,gini,True,,
SMOTE,,5,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,8.558144807815552,success,0.6964658260345459,0.17_0.18_0.42_0.23_0.22,0.65_0.65_0.64_0.66_0.65,0.2747159957885742,0.24426721801237758,0.54,0.43,0.61,1.0,0.26,0.46,0.48,0.6506882448465479,1746735766.6251256,uniform,KNeighborsClassifier,,,6,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,2.5989487171173096,success,0.2284926414489746,0.31_0.21_0.45_0.42_0.2,0.68_0.66_0.67_0.68_0.66,0.027706193923950195,0.3179606556391142,0.55,0.57,0.66,1.0,0.33,0.48,0.5,0.6680521787172833,1746735757.9001567,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,FunctionTransformer,,,1.6076431274414062,success,0.012317609786987305,0.07_0.08_0.04_0.01_0.01,0.64_0.65_0.63_0.62_0.62,0.26827216148376465,0.042060143511931734,0.15,0.23,0.24,1.0,0.07,0.11,0.29,0.630844374479665,1746735755.158186,,RandomForestClassifier,,,,,100,4,,2,1,4,,entropy,False,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,2.459200143814087,success,0.17073421478271483,0.29_0.38_0.42_0.3_0.14,0.68_0.67_0.66_0.67_0.66,0.08287944793701171,0.3069517517194734,0.61,0.55,0.65,1.0,0.31,0.52,0.5,0.6670517031361883,1746735751.5611174,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
