rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,3,,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,SelectKBest,,2,6.4373016357421875e-06,already_evaluated,0.005018854141235351,0.0_0.0_0.0_0.0_0.0,0.61_0.62_0.55_0.59_0.54,0.07809557914733886,0.0,0.59,0.81,0.0,0.81,0.584047619047619,1746692654.6173677,,RandomForestClassifier,,,,,25,4,,6,3,3,,entropy,True,,
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,0.5,,SelectKBest,,6,4.0531158447265625e-06,already_evaluated,0.020576953887939453,0.76_0.76_0.72_0.73_0.62,0.55_0.5_0.53_0.54_0.59,0.5531512260437011,0.720216201423098,0.8,0.8,0.84,0.81,0.5411904761904762,1746692654.7018437,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,3,,normalization_features_mitigation_rebalancing_classification,,False,,False,RobustScaler,LFR_wrapper,0.1,10,0.5,,SelectKBest,,6,5.7220458984375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692654.788955,distance,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_normalization_mitigation_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,0.5,,PCA,4,,5.7220458984375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692654.878347,,RandomForestClassifier,,,,,10,6,,6,2,3,,entropy,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,10,0.5,,PCA,5,,5.245208740234375e-06,already_evaluated,0.004901504516601563,1.0_0.27_1.0_1.0_0.66,0.5_0.45_0.5_0.5_0.52,0.9915307521820068,0.7843678160919539,0.91,0.85,0.93,0.89,0.49404761904761896,1746692654.967495,,MLPClassifier,sgd,5,,1,,,,,,,adaptive,,,0.01,tanh
NearMiss,1,,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,5.7220458984375e-06,already_evaluated,0.005270862579345703,0.0_0.31_0.0_0.0_0.0,0.54_0.53_0.56_0.6_0.58,0.12039999961853028,0.0627906976744186,0.88,0.81,0.14,0.25,0.5635714285714286,1746692655.0598485,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.001,logistic
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,7,1.5020370483398438e-05,already_evaluated,0.009625768661499024,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.14107198715209962,1.0,1.0,1.0,1.0,1.0,0.5,1746692655.1504345,,RandomForestClassifier,,,,,100,3,,3,4,1,,entropy,True,,
SMOTE,,6,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,9,1.1920928955078125e-05,already_evaluated,0.014344930648803711,0.0_0.0_0.0_0.0_0.34,0.62_0.67_0.7_0.63_0.67,0.020950746536254884,0.06896551724137931,0.59,0.37,0.56,0.63,0.6599999999999999,1746692655.2446895,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,2,,features_mitigation_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,6.67572021484375e-06,already_evaluated,0.023784685134887695,0.0_0.0_0.0_0.0_0.0,0.65_0.66_0.63_0.61_0.61,19.710401916503905,0.0,0.65,0.73,0.0,0.73,0.6297619047619049,1746692655.3374295,,MLPClassifier,adam,50,,20,,,,,,,constant,,,0.01,tanh
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,0.007945775985717773,0.31_0.56_0.61_0.0_0.33,0.61_0.58_0.52_0.62_0.55,0.1444530487060547,0.3638888888888889,0.72,0.88,0.36,0.53,0.5766666666666665,1746692655.4326243,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
